calls_id,queue_id,service_id,counter_id,user_id,token_letter,token_number,called_date,started_date,ended_date,started_time,ended_time,served_time,waiting_time,turn_around_time,created_date,updated_date,created_time,updated_time,call_status_id,turn_around_time_in_sec,served_time_in_sec,waiting_time_in_sec
28,45,1,2,2,W,1,2024-01-25,2024-01-25,2024-01-25,18:26:13,18:34:14,00:08:01,00:06:45,00:14:46,2024-01-25,2024-01-25,18:34:01,18:34:14,1.0,886.0,481.0,405
29,46,1,2,2,W,2,2024-01-25,2024-01-25,2024-01-25,18:34:16,18:34:24,00:00:08,00:13:39,00:13:47,2024-01-25,2024-01-25,18:34:16,18:34:24,1.0,827.0,8.0,819
30,48,2,2,2,NR,1,2024-01-25,2024-01-25,,18:34:53,,,00:00:13,,2024-01-25,2024-01-25,18:34:53,18:34:53,,,,13
31,47,1,2,2,W,3,2024-01-25,2024-01-25,2024-01-25,18:35:14,18:35:18,00:00:04,00:10:17,00:10:21,2024-01-25,2024-01-25,18:35:14,18:35:18,1.0,621.0,4.0,617
32,50,3,3,2,T,1,2024-01-25,2024-01-25,2024-01-25,18:35:58,18:37:00,00:01:02,00:00:29,00:01:31,2024-01-25,2024-01-25,18:35:58,18:37:00,1.0,91.0,62.0,29
35,49,2,8,7,NR,2,2024-01-25,2024-01-25,,18:36:48,,,00:02:03,,2024-01-25,2024-01-25,18:37:08,18:37:08,,,,123
36,51,3,3,2,T,2,2024-01-25,2024-01-25,2024-01-25,19:08:49,19:08:55,00:00:06,00:33:17,00:33:23,2024-01-25,2024-01-25,19:08:49,19:08:55,1.0,2003.0,6.0,1997
38,52,3,3,2,T,3,2024-01-25,2024-01-25,2024-01-25,19:08:59,19:10:33,00:01:34,00:33:23,00:34:57,2024-01-25,2024-01-25,19:09:59,19:10:33,1.0,2097.0,94.0,2003
41,54,2,2,13,NR,2,2024-01-26,2024-01-26,2024-01-26,10:14:05,10:14:44,,00:34:22,,2024-01-26,2024-01-26,10:14:05,10:14:44,2.0,,,2062
42,53,2,3,10,NR,1,2024-01-26,2024-01-26,2024-01-26,10:06:54,10:20:39,00:13:45,00:52:13,01:05:58,2024-01-26,2024-01-26,10:20:26,10:20:39,1.0,3958.0,825.0,3133
43,56,1,2,13,W,1,2024-01-26,2024-01-26,2024-01-26,10:21:23,10:21:26,00:00:03,00:35:19,00:35:22,2024-01-26,2024-01-26,10:21:23,10:21:26,1.0,2122.0,3.0,2119
44,58,1,2,13,W,2,2024-01-26,2024-01-26,2024-01-26,10:21:28,10:21:30,00:00:02,00:34:46,00:34:48,2024-01-26,2024-01-26,10:21:28,10:21:30,1.0,2088.0,2.0,2086
45,60,1,2,13,W,3,2024-01-26,2024-01-26,2024-01-26,10:21:32,10:21:35,00:00:03,00:32:25,00:32:28,2024-01-26,2024-01-26,10:21:32,10:21:35,1.0,1948.0,3.0,1945
46,63,1,2,13,W,4,2024-01-26,2024-01-26,2024-01-26,10:21:37,10:21:39,00:00:02,00:21:28,00:21:30,2024-01-26,2024-01-26,10:21:37,10:21:39,1.0,1290.0,2.0,1288
47,64,1,2,13,W,5,2024-01-26,2024-01-26,2024-01-26,10:21:40,10:21:42,00:00:02,00:21:23,00:21:25,2024-01-26,2024-01-26,10:21:40,10:21:42,1.0,1285.0,2.0,1283
48,68,1,2,13,W,6,2024-01-26,2024-01-26,2024-01-26,10:21:43,10:21:45,00:00:02,00:09:42,00:09:44,2024-01-26,2024-01-26,10:21:43,10:21:45,1.0,584.0,2.0,582
49,71,1,2,13,W,7,2024-01-26,2024-01-26,2024-01-26,10:21:47,10:27:18,00:05:31,00:08:21,00:13:52,2024-01-26,2024-01-26,10:21:47,10:27:18,1.0,832.0,331.0,501
53,72,1,2,13,W,8,2024-01-26,2024-01-26,2024-01-26,10:28:05,10:28:17,,00:10:02,,2024-01-26,2024-01-26,10:28:05,10:28:17,2.0,,,602
55,78,1,2,13,W,10,2024-01-26,2024-01-26,2024-01-26,10:29:48,10:34:06,00:04:18,00:06:12,00:10:30,2024-01-26,2024-01-26,10:29:48,10:34:06,1.0,630.0,258.0,372
59,57,2,2,13,NR,4,2024-01-26,2024-01-26,2024-01-26,10:37:28,10:51:07,00:13:39,00:51:01,01:04:40,2024-01-26,2024-01-26,10:37:28,10:51:07,1.0,3880.0,819.0,3061
60,55,2,3,10,NR,3,2024-01-26,2024-01-26,2024-01-26,10:21:49,10:41:07,,00:41:34,,2024-01-26,2024-01-26,10:39:56,10:41:07,2.0,,,2494
63,67,3,3,10,T,1,2024-01-26,2024-01-26,2024-01-26,10:41:38,10:55:14,00:13:36,00:36:00,00:49:36,2024-01-26,2024-01-26,10:47:53,10:55:14,1.0,2976.0,816.0,2160
64,59,2,2,13,NR,5,2024-01-26,2024-01-26,2024-01-26,10:52:14,10:52:52,00:00:38,01:04:56,01:05:34,2024-01-26,2024-01-26,10:52:14,10:52:52,1.0,3934.0,38.0,3896
65,61,2,2,13,NR,6,2024-01-26,2024-01-26,2024-01-26,10:53:05,10:53:42,,00:53:36,,2024-01-26,2024-01-26,10:53:05,10:53:42,2.0,,,3216
66,62,2,8,7,NR,7,2024-01-26,2024-01-26,2024-01-26,10:55:58,11:10:23,00:14:25,00:56:12,01:10:37,2024-01-26,2024-01-26,10:55:58,11:10:23,1.0,4237.0,865.0,3372
67,77,1,1,5,W,9,2024-01-26,2024-01-26,2024-01-26,10:29:31,10:56:24,,00:06:07,,2024-01-26,2024-01-26,10:56:08,10:56:24,2.0,,,367
68,79,1,1,5,W,11,2024-01-26,2024-01-26,2024-01-26,10:56:28,11:01:33,,00:32:33,,2024-01-26,2024-01-26,10:56:28,11:01:33,2.0,,,1953
70,81,1,1,5,W,12,2024-01-26,2024-01-26,2024-01-26,11:05:09,11:05:53,,00:38:44,,2024-01-26,2024-01-26,11:05:38,11:05:53,2.0,,,2324
73,85,1,1,5,W,14,2024-01-26,2024-01-26,2024-01-26,11:06:56,11:16:47,,00:02:02,,2024-01-26,2024-01-26,11:06:56,11:16:47,2.0,,,122
75,65,2,8,7,NR,8,2024-01-26,2024-01-26,2024-01-26,11:10:27,11:19:07,00:08:40,01:08:39,01:17:19,2024-01-26,2024-01-26,11:10:44,11:19:07,1.0,4639.0,520.0,4119
76,66,2,3,10,NR,9,2024-01-26,2024-01-26,2024-01-26,11:16:18,11:26:19,00:10:01,01:12:15,01:22:16,2024-01-26,2024-01-26,11:16:18,11:26:19,1.0,4936.0,601.0,4335
